****                   MendelIHT Version 1.4.1                  ****
****     Benjamin Chu, Kevin Keys, Chris German, Hua Zhou       ****
****   Jin Zhou, Eric Sobel, Janet Sinsheimer, Kenneth Lange    ****
****                                                            ****
****                 Please cite our paper!                     ****
****         https://doi.org/10.1093/gigascience/giaa044        ****

Initializing β to univariate regression values...
...completed in 206.2 seconds.

Running sparse Multivariate Gaussian regression
Number of threads = 36
Link functin = GLM.IdentityLink()
Sparsity parameter (k) = 197
Prior weight scaling = off
Doubly sparse projection = off
Debias = off
Max IHT iterations = 1500
Converging when tol < 0.0001 and iteration ≥ 10:

Iteration 65: loglikelihood = -177462.28029940557, backtracks = 2, tol = 0.0017758253075888242
Iteration 66: loglikelihood = -177441.89800578926, backtracks = 2, tol = 0.0014556507643080278
Iteration 67: loglikelihood = -177428.149584694, backtracks = 2, tol = 0.0011885722227798691
Iteration 68: loglikelihood = -177418.2453453747, backtracks = 2, tol = 0.0009737908542482228
Iteration 69: loglikelihood = -177410.90815692165, backtracks = 2, tol = 0.0008025155170905857
Iteration 70: loglikelihood = -177405.3150989324, backtracks = 2, tol = 0.0006641321415397138
Iteration 71: loglikelihood = -177400.92286203738, backtracks = 2, tol = 0.0005512485591125144
Iteration 72: loglikelihood = -177397.36662951647, backtracks = 2, tol = 0.0004585117053217243
Iteration 73: loglikelihood = -177394.39824963157, backtracks = 2, tol = 0.0003819334363744961
Iteration 74: loglikelihood = -177391.84719502134, backtracks = 2, tol = 0.0003649447598089596
Iteration 75: loglikelihood = -177389.59529332185, backtracks = 2, tol = 0.00036080476639858955
Iteration 76: loglikelihood = -177387.5600554343, backtracks = 2, tol = 0.00035708384562344096
Iteration 77: loglikelihood = -177385.6835134356, backtracks = 2, tol = 0.00035371885704844875
Iteration 78: loglikelihood = -177383.92466286142, backtracks = 2, tol = 0.00035066071355356425
Iteration 79: loglikelihood = -177382.2543011312, backtracks = 2, tol = 0.0003478704523588577
Iteration 80: loglikelihood = -177380.65147862065, backtracks = 2, tol = 0.0003453165015021087
