

Crossvalidation Results:
	k	MSE
	4510	590219.0387971773
	4520	590211.355092639
	4530	590185.5432591194
	4540	590173.5541412492
	4550	590190.2861786039
	4560	590149.9180366568
	4570	590151.8362771499
	4580	590217.0711698259
	4590	590234.7469574029
	4600	590220.3773895877
	4610	590173.800755903
	4620	590129.0898413277
	4630	590147.8414479953
	4640	590166.3383792753
	4650	590127.0696696986
	4660	590146.5188614394
	4670	590135.5349586715
	4680	590096.3164871002
	4690	590133.9663584132

Best k = 4680

Total cross validation time = 56743.62443614006 seconds
